age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,% augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,est_marie,departement_Consulting,departement_Ressources Humaines,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,poste_level,freq_deplacement_level,ratio_exp_entreprise,revenu_par_age,age_group,satisfaccion_media
35,1,2426,0,6,5,4,1,4,1,2,3,3,3,0,13,0,1,5,16,3,0,3,1,True,False,False,False,False,False,True,1,1,1.0,67.38888888888889,2,2.25
29,0,4193,0,10,9,5,4,2,2,3,4,3,3,1,12,0,0,3,15,2,0,8,0,True,False,False,True,False,False,False,1,1,1.0,139.76666666666668,1,3.5
31,1,2911,1,5,5,2,1,3,1,3,4,2,3,0,17,0,1,1,26,1,4,3,0,True,False,False,True,False,False,False,2,1,0.8333333333333334,90.96875,2,2.5
34,1,2661,0,3,2,2,2,3,1,4,3,3,3,0,11,0,1,2,19,2,1,2,0,True,False,False,False,False,False,True,1,1,1.0,76.02857142857142,2,3.0
28,1,2028,5,6,4,2,3,2,1,3,2,3,3,1,14,1,0,4,24,3,0,3,0,True,False,False,True,False,False,False,1,1,1.2,69.93103448275862,1,2.75
29,0,9980,1,10,10,9,2,4,3,1,3,3,3,0,11,0,1,1,21,4,8,8,0,True,False,False,True,False,False,False,3,1,0.9090909090909091,332.6666666666667,1,2.25
32,1,3298,0,7,6,2,1,4,1,2,4,2,3,1,12,0,2,5,5,2,0,5,0,True,False,False,True,False,False,False,2,1,1.0,99.93939393939394,2,2.25
22,1,2935,1,1,1,0,4,4,1,4,2,2,3,1,13,0,2,2,16,2,0,0,0,True,False,False,False,False,False,True,1,0,0.5,127.6086956521739,1,3.0
53,0,15427,2,31,25,8,1,2,4,4,3,3,3,0,16,0,0,3,2,4,3,7,1,False,False,False,True,False,False,False,8,1,1.1923076923076923,285.68518518518516,4,2.75
38,1,3944,5,6,3,2,4,3,1,4,3,3,3,1,11,0,0,3,2,3,1,2,0,True,False,False,True,False,False,False,2,1,1.5,101.12820512820512,2,3.5
24,0,4011,0,5,4,2,1,4,2,3,4,2,3,0,18,0,1,5,11,2,1,3,0,True,False,False,False,False,False,False,3,0,1.0,160.44,1,2.5
36,1,3407,7,10,5,3,3,2,1,1,2,3,4,0,23,1,0,4,9,4,0,3,0,False,False,False,True,False,False,False,6,1,1.6666666666666667,92.08108108108108,2,2.25
34,0,11994,0,13,12,6,1,3,3,2,3,3,3,0,11,0,0,4,7,4,2,11,0,True,False,False,True,False,False,False,7,1,1.0,342.6857142857143,2,2.25
21,1,1232,1,0,0,0,3,3,1,4,4,3,3,0,14,0,0,6,15,2,0,0,0,True,False,False,True,False,False,False,2,1,0.0,56.0,1,3.5
34,1,2960,2,8,4,2,2,3,1,1,3,3,3,0,11,1,0,2,6,1,1,3,0,True,False,False,False,False,False,True,2,1,1.6,84.57142857142857,2,2.25
53,0,19094,4,26,14,13,3,3,5,3,4,2,3,0,11,0,1,3,5,3,4,8,0,True,False,False,False,False,False,False,8,1,1.7333333333333334,353.5925925925926,4,3.0
32,0,3919,1,10,10,2,2,1,1,1,2,3,4,1,22,1,0,5,16,1,6,7,0,True,False,False,True,False,False,False,2,2,0.9090909090909091,118.75757575757575,2,2.0
42,1,6825,0,10,9,7,3,3,2,2,4,3,3,0,11,0,1,2,8,4,4,2,1,False,False,False,False,True,False,False,5,1,1.0,158.72093023255815,3,3.0
44,0,10248,3,24,22,6,1,2,3,4,4,3,3,0,14,0,1,4,7,4,5,17,1,True,False,False,False,False,False,True,4,1,1.0434782608695652,227.73333333333332,3,3.0
46,0,18947,3,22,2,2,2,3,5,1,4,2,3,0,12,0,0,2,2,4,2,1,0,False,False,False,False,True,False,False,8,1,7.333333333333333,403.1276595744681,3,2.25
33,1,2496,4,7,1,1,3,3,1,4,4,3,3,0,11,0,0,3,2,3,0,0,0,True,False,False,False,False,False,True,1,1,3.5,73.41176470588235,2,3.5
44,1,6465,2,9,4,2,4,3,2,4,4,4,3,1,13,0,0,5,10,4,1,3,1,True,False,False,False,False,False,False,4,1,1.8,143.66666666666666,3,4.0
30,1,2206,1,10,10,0,4,2,1,3,1,3,3,0,13,0,0,5,9,2,1,8,0,True,False,False,False,False,False,True,1,1,0.9090909090909091,71.16129032258064,1,2.75
39,1,2086,3,19,1,0,4,3,2,4,3,4,3,0,14,1,1,6,5,3,0,0,1,False,False,True,False,False,False,False,6,1,9.5,52.15,2,3.75
24,1,2293,2,6,2,0,2,3,1,4,1,2,3,1,16,1,1,2,1,3,2,0,1,True,False,False,False,False,False,True,2,1,2.0,91.72,1,2.25
43,0,2645,1,6,5,3,4,4,1,3,4,2,3,0,12,0,2,3,2,2,1,4,0,True,False,False,False,False,False,True,2,1,1.0,60.11363636363637,3,3.25
50,1,2683,1,3,3,2,1,2,1,3,3,3,3,1,14,1,0,2,3,2,0,2,1,False,False,False,False,True,False,False,6,1,0.75,52.6078431372549,3,2.5
35,0,2014,1,2,2,2,4,3,1,4,1,3,3,0,13,0,0,3,2,3,2,2,1,False,False,False,False,True,False,False,6,1,0.6666666666666666,55.94444444444444,2,3.0
36,0,3419,9,6,1,1,2,2,1,1,4,4,3,1,14,0,1,3,5,4,0,0,1,True,False,False,True,False,False,False,2,1,3.0,92.4054054054054,2,2.75
33,0,5376,2,10,5,3,3,4,2,1,1,3,3,0,19,0,2,3,1,3,1,3,1,False,False,False,True,False,False,False,5,2,1.6666666666666667,158.11764705882354,2,2.0
35,1,1951,1,1,1,0,3,3,1,4,3,3,3,0,12,0,1,3,4,2,0,0,0,True,False,False,False,False,False,False,1,1,0.5,54.19444444444444,2,3.25
27,0,2341,1,1,1,0,4,3,1,1,4,3,3,0,13,0,1,6,2,4,0,0,0,True,False,False,True,False,False,False,1,1,0.5,83.60714285714286,1,3.0
26,1,2293,1,1,1,0,1,1,1,3,3,2,3,0,12,1,0,2,25,3,0,1,0,True,False,False,True,False,False,False,1,1,0.5,84.92592592592592,1,2.25
27,1,8726,1,9,9,8,4,3,3,3,4,3,3,0,15,0,0,0,8,3,1,7,0,False,False,False,True,False,False,False,5,2,0.9,311.64285714285717,1,3.5
30,0,4011,1,12,12,8,3,3,2,4,4,3,4,0,23,0,0,2,1,2,3,7,0,True,False,False,False,False,False,True,1,2,0.9230769230769231,129.38709677419354,1,3.5
41,0,19545,1,23,22,15,2,3,5,3,4,3,3,0,12,1,0,0,12,3,15,8,1,True,False,True,False,False,False,False,7,1,1.0,465.35714285714283,3,3.0
34,1,4568,0,10,9,5,2,3,2,3,3,3,4,0,20,0,0,2,23,4,8,7,0,False,False,False,False,True,False,False,5,0,1.0,130.5142857142857,2,2.75
37,1,3022,4,8,1,0,2,3,1,2,1,3,4,0,21,0,0,1,19,2,0,0,1,True,False,False,True,False,False,False,2,1,4.0,79.52631578947368,2,2.0
46,1,5772,4,14,9,6,1,3,2,4,3,3,4,1,21,0,0,4,5,4,0,8,0,False,False,False,False,True,False,False,5,2,1.4,122.80851063829788,3,2.75
35,1,2269,1,1,1,0,4,4,1,4,4,3,3,0,19,0,0,2,8,1,0,1,1,True,False,False,True,False,False,False,1,1,0.5,63.02777777777778,2,3.75
48,1,5381,9,23,1,0,1,2,3,3,4,3,3,1,13,1,0,2,1,2,0,0,0,True,False,False,True,False,False,False,1,1,11.5,109.81632653061224,3,2.75
28,1,3441,1,2,2,2,3,3,1,3,3,2,3,1,13,1,0,3,5,4,2,2,0,True,False,True,False,False,False,False,1,1,0.6666666666666666,118.65517241379311,1,2.75
44,0,5454,5,9,4,3,2,3,2,1,3,2,4,1,21,0,1,2,1,5,1,3,0,False,False,False,False,True,False,False,5,1,1.8,121.2,3,2.0
35,1,9884,2,10,4,0,3,2,3,1,3,3,3,1,13,0,1,3,11,2,2,3,1,True,False,False,False,False,False,True,4,0,2.0,274.55555555555554,2,2.5
26,0,4157,7,5,2,2,3,2,2,4,3,2,3,1,19,0,1,2,23,3,0,0,1,False,False,False,False,True,False,False,5,1,1.6666666666666667,153.96296296296296,1,3.0
33,0,13458,1,15,15,14,1,3,3,4,3,3,3,1,12,0,0,1,1,2,8,12,0,True,False,False,True,False,False,False,7,2,0.9375,395.8235294117647,2,2.75
35,1,9069,1,9,9,8,2,3,3,1,4,2,4,0,22,0,1,3,18,5,1,8,1,False,False,False,True,False,False,False,5,2,0.9,251.91666666666666,2,2.25
35,0,4014,3,4,2,2,3,3,1,1,3,3,3,1,15,0,1,3,23,4,2,2,1,True,False,False,False,False,False,True,1,1,1.3333333333333333,111.5,2,2.5
31,1,5915,3,10,7,7,4,3,2,4,4,2,4,0,22,0,1,3,7,4,1,7,0,True,False,False,True,False,False,False,1,1,1.25,184.84375,2,3.5
37,1,5993,1,7,7,5,1,2,2,3,3,4,3,0,18,0,1,2,1,4,0,7,0,True,False,False,True,False,False,False,3,1,0.875,157.71052631578948,2,2.75
32,1,6162,1,9,9,8,1,3,2,4,2,3,4,1,22,0,1,3,1,3,7,8,1,True,False,False,False,False,False,True,3,1,0.9,186.72727272727272,2,2.5
38,0,2406,1,10,10,3,4,3,2,4,4,3,3,0,11,0,0,2,29,5,9,9,0,True,False,False,True,False,False,False,1,2,0.9090909090909091,61.69230769230769,2,3.75
50,0,18740,5,29,27,3,2,2,5,3,4,2,3,1,12,0,1,2,7,2,13,8,0,True,False,False,False,False,False,True,7,1,1.0357142857142858,367.45098039215685,3,2.75
59,0,7637,7,28,21,16,1,3,3,1,4,2,3,0,11,0,0,3,25,3,7,9,0,False,False,False,True,False,False,False,5,1,1.2727272727272727,127.28333333333333,4,2.0
36,0,10096,1,17,17,14,3,3,3,3,2,3,3,0,13,0,3,2,8,3,12,8,0,True,False,True,False,False,False,False,4,1,0.9444444444444444,272.86486486486484,2,2.75
55,0,14756,2,21,5,0,4,3,4,3,3,3,3,1,14,0,3,2,8,3,0,2,0,True,False,False,False,False,False,True,8,1,3.5,263.5,4,3.25
36,1,6499,1,6,6,5,2,2,2,2,3,3,3,0,13,0,0,3,11,3,0,3,0,True,False,False,True,False,False,False,3,2,0.8571428571428571,175.64864864864865,2,2.5
45,1,9724,2,25,1,0,2,3,3,1,3,3,3,0,17,0,1,2,7,3,0,0,0,True,False,False,True,False,False,False,2,1,12.5,211.3913043478261,3,2.25
35,1,2194,4,5,3,2,2,3,1,1,4,2,3,0,13,0,1,2,1,3,1,2,1,True,False,False,False,False,False,True,2,2,1.25,60.94444444444444,2,2.25
36,1,3388,0,2,1,0,4,2,1,3,1,2,3,1,17,1,1,0,9,3,0,0,1,True,False,False,False,False,False,True,2,1,1.0,91.56756756756756,2,2.5
59,0,5473,7,20,4,3,1,2,2,3,4,2,3,0,11,0,0,2,1,1,1,3,0,False,False,False,True,False,False,False,5,2,4.0,91.21666666666667,4,2.5
29,1,2703,0,6,5,4,3,3,1,2,4,3,4,0,23,0,1,3,2,3,0,4,1,True,False,False,True,False,False,False,2,1,1.0,90.1,1,3.0
31,1,2501,1,1,1,1,3,3,1,2,2,3,3,0,17,0,0,4,1,4,1,0,0,True,False,False,False,False,False,True,2,1,0.5,78.15625,2,2.5
32,1,6220,1,10,10,4,2,3,2,2,2,3,3,0,17,0,2,3,1,3,0,9,1,True,False,False,True,False,False,False,2,1,0.9090909090909091,188.4848484848485,2,2.25
36,0,3038,3,5,1,0,2,4,1,4,2,3,3,0,12,0,0,3,6,3,0,0,1,True,False,False,True,False,False,False,1,1,2.5,82.10810810810811,2,2.75
31,0,4424,1,11,11,7,3,3,2,4,4,3,4,0,23,0,0,2,8,4,1,8,0,True,False,False,True,False,False,False,3,1,0.9166666666666666,138.25,2,3.5
35,1,4312,0,16,15,13,3,2,2,1,2,3,3,0,14,0,0,2,1,4,2,8,0,False,False,False,False,True,False,False,5,1,1.0,119.77777777777777,2,2.25
45,1,13245,4,17,0,0,4,3,3,1,2,4,3,1,14,0,0,3,6,4,0,0,1,True,False,False,False,False,False,False,7,1,17.0,287.9347826086956,3,2.75
37,1,13664,4,16,5,2,1,3,3,3,1,4,3,0,13,0,0,3,7,4,0,2,0,True,False,False,False,False,False,True,7,1,2.6666666666666665,359.57894736842104,2,2.25
46,1,5021,8,16,4,2,2,3,2,2,4,3,4,1,22,0,1,2,5,2,0,2,0,False,True,False,False,False,False,True,4,1,3.2,106.82978723404256,3,2.75
30,1,5126,1,10,10,8,4,2,2,4,3,2,3,1,12,0,2,1,1,1,3,0,1,True,False,False,True,False,False,False,1,1,0.9090909090909091,165.3548387096774,1,3.25
35,1,2859,1,6,6,4,2,2,1,3,1,3,3,0,18,0,0,3,1,3,0,4,0,True,False,False,False,False,False,True,2,1,0.8571428571428571,79.41666666666667,2,2.25
55,1,10239,3,24,1,0,1,3,3,4,4,3,3,0,14,0,1,4,1,2,1,0,1,False,False,False,True,False,False,False,5,1,12.0,182.83928571428572,4,3.0
38,0,5329,7,17,13,11,2,1,2,4,4,3,3,1,12,0,3,3,6,3,1,9,0,True,False,False,False,False,False,True,2,0,1.2142857142857142,136.64102564102564,2,3.25
34,1,4325,1,5,5,2,1,3,2,2,3,3,3,0,15,0,0,2,1,2,1,3,1,True,False,False,False,False,False,True,3,1,0.8333333333333334,123.57142857142857,2,2.25
56,1,7260,4,37,6,4,4,1,3,4,1,2,3,0,11,0,0,3,7,3,0,2,0,True,False,False,True,False,False,False,3,1,5.285714285714286,127.36842105263158,4,2.75
23,1,2322,3,3,0,0,3,3,1,1,3,3,3,0,13,0,1,3,2,1,0,0,0,False,False,True,False,False,False,False,6,1,3.0,96.75,1,2.5
51,1,2075,3,10,4,2,4,3,1,4,2,3,4,0,23,0,2,4,9,4,0,3,1,True,False,False,True,False,False,False,1,1,2.0,39.90384615384615,4,3.25
30,1,4152,1,11,11,10,3,2,2,4,1,3,3,0,19,0,3,3,2,3,10,8,1,True,False,False,True,False,False,False,4,1,0.9166666666666666,133.93548387096774,1,2.75
46,1,9619,1,9,9,8,3,2,3,4,4,3,3,0,16,1,0,3,9,2,4,7,0,False,False,False,False,False,False,True,5,1,0.9,204.6595744680851,3,3.5
40,1,13503,1,22,22,3,3,2,4,2,4,2,4,0,22,0,1,3,1,4,11,11,1,True,False,False,True,False,False,False,4,2,0.9565217391304348,329.3414634146341,2,2.75
51,1,5441,0,11,10,7,3,3,2,4,4,1,4,1,22,0,0,2,21,4,1,0,0,False,False,False,False,True,False,False,5,1,1.0,104.63461538461539,4,3.0
30,0,5209,1,11,11,8,3,2,2,2,2,2,3,1,12,0,3,4,4,2,2,7,0,False,False,False,False,False,False,True,5,1,0.9166666666666666,168.03225806451613,1,2.25
46,1,10673,2,21,10,9,3,2,3,1,3,2,3,1,13,0,1,5,1,3,9,5,1,True,False,False,False,False,False,True,4,2,1.9090909090909092,227.08510638297872,3,2.25
32,1,5010,1,12,11,8,2,3,2,3,1,3,3,0,16,0,0,0,6,4,5,7,0,False,False,False,False,False,False,True,5,1,1.0,151.8181818181818,2,2.25
54,0,13549,9,16,4,3,1,3,3,3,1,1,3,0,12,0,1,5,2,4,0,3,1,True,False,True,False,False,False,False,7,1,3.2,246.34545454545454,4,1.5
24,0,4999,0,4,3,2,1,3,2,3,1,2,4,0,21,0,1,2,3,2,0,2,1,False,False,False,False,False,False,False,5,1,1.0,199.96,1,1.75
28,1,4221,1,5,5,4,2,3,2,3,2,4,3,0,15,0,0,3,4,3,0,4,1,False,False,False,False,False,False,True,5,0,0.8333333333333334,145.55172413793105,1,2.75
58,1,13872,0,38,37,10,4,3,4,3,3,2,3,0,13,0,0,1,10,4,1,8,0,False,False,False,False,False,False,True,5,1,1.0,235.11864406779662,4,3.0
44,1,2042,4,17,3,2,2,3,2,2,3,4,3,0,12,0,1,3,23,3,1,2,1,True,False,False,False,False,False,True,1,0,4.25,45.37777777777778,3,2.75
37,1,2073,4,7,3,2,3,3,1,1,4,3,4,1,22,1,0,3,6,4,0,2,0,False,True,False,False,False,True,False,4,1,1.75,54.55263157894737,2,2.75
32,1,2956,1,1,1,0,4,3,1,1,4,3,3,0,13,0,0,2,1,1,0,0,0,True,False,False,True,False,False,False,2,1,0.5,89.57575757575758,2,3.0
20,0,2926,1,1,1,0,4,2,1,4,2,3,3,1,18,1,0,5,6,3,1,0,0,True,False,False,True,False,False,False,1,2,0.5,139.33333333333334,0,3.25
34,0,4809,1,16,16,13,1,3,2,3,3,3,3,0,14,0,0,3,6,4,2,10,0,True,False,False,False,False,False,False,2,1,0.9411764705882353,137.4,2,2.5
37,1,5163,5,17,1,0,3,2,2,4,4,4,3,0,14,0,1,2,2,2,0,0,0,True,False,False,True,False,False,False,4,0,8.5,135.8684210526316,2,3.75
59,0,18844,9,30,3,2,3,2,5,4,4,3,4,0,21,0,1,3,2,4,2,2,1,False,True,False,False,False,True,False,8,0,7.5,314.06666666666666,4,3.5
50,0,18172,3,28,8,3,1,3,5,2,1,2,3,1,19,0,0,1,1,3,0,7,1,True,False,False,True,False,False,False,7,2,3.111111111111111,356.3137254901961,3,1.5
25,1,5744,1,6,6,4,3,2,2,3,4,3,3,1,11,1,0,1,5,3,0,3,0,False,False,False,False,True,False,False,5,1,0.8571428571428571,220.92307692307693,1,3.25
25,1,2889,1,2,2,2,4,2,1,4,3,3,3,0,11,0,2,2,7,1,2,1,1,True,False,False,False,False,False,True,2,1,0.6666666666666666,111.11538461538461,1,3.5
22,0,2871,1,1,0,0,2,3,1,4,3,3,3,0,15,0,0,5,15,3,0,0,0,True,False,False,False,False,False,True,1,1,1.0,124.82608695652173,1,3.0
51,0,7484,3,23,13,12,1,2,3,1,3,2,4,0,20,0,0,1,1,4,12,8,0,True,False,False,False,False,False,True,4,2,1.6428571428571428,143.92307692307693,4,1.75
34,1,6074,1,9,9,7,1,1,2,3,4,3,4,1,24,1,0,3,7,3,0,6,0,True,False,False,True,False,False,False,1,2,0.9,173.54285714285714,2,2.75
54,0,17328,2,23,5,3,4,4,4,4,3,3,3,1,12,0,0,3,26,3,4,4,0,False,True,False,False,False,True,False,8,0,3.8333333333333335,315.05454545454546,4,3.5
24,1,2774,0,6,5,3,2,3,1,3,3,3,3,0,12,0,1,2,18,1,1,2,1,True,False,False,True,False,False,False,1,1,1.0,110.96,1,2.75
34,0,4505,6,12,1,0,3,2,2,2,3,3,3,0,15,0,1,3,6,4,0,0,0,True,False,False,True,False,False,False,2,1,6.0,128.71428571428572,2,2.75
37,1,7428,2,12,5,3,3,3,3,4,1,3,3,0,12,0,0,3,3,3,1,3,0,False,False,False,True,False,False,False,5,1,2.0,195.47368421052633,2,2.75
34,0,11631,2,14,11,10,3,2,3,1,4,3,3,0,12,0,0,6,5,3,5,8,0,True,False,False,False,False,False,True,8,1,1.1666666666666667,332.3142857142857,2,2.75
36,0,9738,0,10,9,7,2,3,3,4,3,3,3,0,14,0,1,6,11,2,2,8,1,False,False,True,False,False,False,False,5,2,1.0,263.18918918918916,2,3.0
36,0,2835,5,7,1,0,1,3,1,4,1,3,4,0,22,0,1,2,3,2,0,0,0,True,False,False,True,False,False,False,1,1,3.5,76.62162162162163,2,2.25
43,1,16959,1,25,25,12,3,3,4,4,4,4,3,1,12,0,2,3,26,2,4,12,1,False,False,False,True,False,False,False,8,2,0.9615384615384616,385.4318181818182,3,3.75
30,1,2613,1,10,10,7,1,1,1,3,3,2,4,0,25,0,3,2,23,3,0,9,0,True,False,False,True,False,False,False,2,2,0.9090909090909091,84.29032258064517,1,2.25
33,1,6146,0,8,7,7,3,3,2,2,1,4,3,0,13,0,1,2,22,2,0,7,1,False,False,False,False,True,False,False,5,0,1.0,180.76470588235293,2,2.5
56,0,4963,9,7,5,4,2,3,1,2,1,3,3,1,18,1,3,2,14,4,4,3,1,True,False,False,True,False,False,False,2,1,1.1666666666666667,87.0701754385965,4,2.0
51,1,19537,7,23,20,18,1,3,5,3,3,3,3,0,13,0,0,5,6,3,15,15,0,True,False,False,True,False,False,False,7,1,1.0952380952380953,375.71153846153845,4,2.5
31,1,6172,4,12,7,7,2,1,2,3,2,2,3,1,18,1,0,3,6,4,7,7,1,False,False,False,True,False,False,False,5,1,1.5,192.875,2,2.25
26,0,2368,1,5,5,4,3,2,1,2,3,2,3,0,19,0,0,3,6,3,4,3,1,True,False,False,False,False,False,False,2,1,0.8333333333333334,87.70370370370371,1,2.5
58,0,10312,1,40,40,10,4,3,3,4,4,2,3,0,12,1,1,3,23,4,15,6,1,True,False,False,False,False,False,True,4,1,0.975609756097561,174.77966101694915,4,3.5
19,1,1675,1,0,0,0,4,3,1,3,4,2,3,1,19,1,0,2,22,1,0,0,0,False,False,False,False,True,False,False,6,1,0.0,83.75,0,3.25
22,1,2523,0,3,2,1,3,3,1,4,3,3,3,0,14,0,1,2,2,1,2,1,1,True,False,True,False,False,False,False,1,1,1.0,109.69565217391305,1,3.25
49,0,6567,1,16,15,11,3,3,2,1,3,2,3,0,14,0,0,2,20,4,5,11,1,True,False,False,False,False,False,True,3,1,1.0,131.34,3,2.25
43,0,4739,4,18,3,2,2,4,1,3,4,3,3,0,12,0,0,2,28,3,1,2,0,True,False,False,False,False,False,True,2,2,4.5,107.70454545454545,3,3.0
50,0,9208,4,16,2,2,3,3,3,4,4,3,3,0,11,0,0,3,12,3,2,1,0,False,False,False,False,True,False,False,5,2,5.333333333333333,180.54901960784315,3,3.5
31,0,4559,3,4,2,2,2,1,2,3,3,3,3,1,11,1,1,2,20,3,2,2,1,False,False,False,True,False,False,False,5,1,1.3333333333333333,142.46875,2,2.75
41,1,8189,3,12,9,7,3,3,3,3,3,3,3,1,13,0,1,2,9,1,0,7,0,False,False,False,True,False,False,False,5,1,1.2,194.97619047619048,3,3.0
26,0,2942,1,8,8,7,3,3,1,3,4,3,4,0,23,0,1,3,25,1,5,7,1,False,True,False,True,False,False,False,4,1,0.8888888888888888,108.96296296296296,1,3.25
36,1,4941,6,7,3,2,2,3,2,2,4,3,4,0,20,0,2,0,6,2,0,1,0,True,False,False,False,False,False,True,3,1,1.75,133.54054054054055,2,2.75
51,1,10650,2,18,4,2,1,1,3,4,4,3,3,0,15,1,0,2,8,4,0,3,0,True,False,False,True,False,False,False,3,2,3.6,204.80769230769232,4,3.0
39,0,5902,4,17,15,11,4,2,2,3,3,4,3,0,14,0,1,1,4,4,5,9,1,False,False,False,True,False,False,False,5,1,1.0625,147.55,2,3.5
25,1,8639,2,6,2,2,1,2,2,3,4,3,3,0,18,0,0,3,28,3,2,2,1,False,False,False,True,False,False,False,5,1,2.0,332.2692307692308,1,2.75
30,1,6347,0,12,11,9,3,3,2,4,4,1,3,1,19,0,0,2,9,3,4,7,1,False,True,False,False,False,True,False,4,1,1.0,204.74193548387098,1,3.0
32,0,4200,7,10,5,4,1,3,1,1,1,4,4,0,22,1,0,2,9,3,0,4,0,True,False,False,False,False,False,True,1,1,1.6666666666666667,127.27272727272727,2,1.75
45,1,3452,5,9,6,5,3,3,1,4,2,2,3,0,13,0,0,2,29,3,0,3,0,True,False,False,False,False,False,True,2,1,1.2857142857142858,75.04347826086956,3,2.75
38,0,4317,3,19,3,2,4,3,2,3,2,3,4,1,20,0,0,2,3,5,2,2,0,True,False,True,False,False,False,False,2,1,4.75,110.6923076923077,2,3.0
30,0,2632,1,5,5,4,1,3,1,3,3,2,3,0,14,0,0,4,18,3,0,4,0,True,False,False,True,False,False,False,2,1,0.8333333333333334,84.90322580645162,1,2.25
32,1,4668,0,9,8,7,4,1,2,4,4,4,3,0,17,0,3,2,9,2,0,7,0,False,False,False,False,False,False,True,5,2,1.0,141.45454545454547,2,4.0
30,0,3204,5,8,3,2,4,3,1,1,4,3,3,0,14,0,1,3,5,3,2,2,0,True,False,True,False,False,False,False,2,1,2.0,103.35483870967742,1,3.0
30,1,2720,0,6,5,3,2,2,1,4,4,3,3,0,13,0,0,3,2,1,1,2,0,True,False,False,False,False,False,True,1,1,1.0,87.74193548387096,1,3.25
41,1,17181,4,21,7,6,4,2,4,1,2,2,3,0,13,0,1,2,10,3,7,7,0,True,False,False,True,False,False,False,8,2,2.625,409.07142857142856,3,2.25
41,1,2238,2,7,5,0,3,3,1,1,4,3,4,0,21,0,1,2,9,4,1,4,1,True,False,False,True,False,False,False,1,1,1.1666666666666667,53.285714285714285,3,2.75
19,0,1483,1,1,1,0,2,3,1,2,4,3,3,0,14,0,0,3,3,1,0,0,0,True,False,False,False,False,False,True,1,1,0.5,74.15,0,2.75
40,0,5605,1,20,20,7,2,3,2,2,1,3,3,0,11,0,1,2,26,3,2,13,0,True,False,False,False,False,False,True,2,2,0.9523809523809523,136.70731707317074,2,2.0
35,1,7295,1,10,10,8,3,3,3,2,1,3,3,0,13,0,2,3,1,5,0,6,1,False,False,False,False,True,False,False,5,1,0.9090909090909091,202.63888888888889,2,2.25
